"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"3PD","NA","NA","NA","NA","NA","NA","NA","0"
"dCMP","dCMP","HMDB0001202","13945","15918","C00239","6078","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"Lactate","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"Glucose","D-Glucose","HMDB0000122","5793","15903","C00031","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Citrulline","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"GABA","gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334",NA,"NCCCC(O)=O","1"
"dTMP","5-Thymidylic acid","HMDB0001227","9700","17013","C00364","6092","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O","1"
"dUMP","dUMP","HMDB0001409","65063","17622","C00365","6225","O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"Xanthine","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"Chondroitin","Chondroitin","HMDB0000629","14389182","16137","C00401","5602","[H]O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)[C@H]1NC(C)=O","1"
"Isoleucine","Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"(E,E)-Farnesyl-PP","NA","NA","NA","NA","NA","NA","NA","0"
"Deoxyadenosine","Deoxyadenosine","HMDB0000101","13730","17256","C00559","3382","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1","1"
"XMP","Xanthylic acid","HMDB0001554","73323","15652","C00655",NA,"O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O","1"
"G6P","G6P",NA,"71668263","75052",NA,NA,"OC1O[C@H](COP([O-])([O-])=O)[C@@H](O)C(=O)[C@H]1O","1"
"dCDP","dCDP","HMDB0001245","150855","28846","C00705","6105","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1","1"
"Spermine","Spermine","HMDB0001256","1103","15746","C00750","255","NCCCNCCCCNCCCN","1"
"Argininosuccinate","Argininosuccinic acid","HMDB0000052","16950","15682","C03406","5115","N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O","1"
"Dolichyl phosphate D-mannose","Dolichyl phosphate D-mannose","HMDB0000994","3246168","1220424","C03862","5925","OC[C@H]1O[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"AICAR","AICAR","HMDB0001517","65110","18406","C04677","6294","NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"Fatty Acid","Fatty acid","METPA0012",NA,"35366","C00162",NA,NA,"1"
"Pyrimidine","Pyrimidine","HMDB0003361","9260","16898","C00396",NA,"C1=CN=CN=C1","1"
"(Glc)3 (GlcNAc)2 (Man)9 (Asn)1","(Glc)3 (GlcNAc)2 (Man)9 (Asn)1","METPA1477",NA,NA,"G00009",NA,NA,"1"
"(GlcNAc)4 (Man)3 (Asn)1","(GlcNAc)4 (Man)3 (Asn)1","METPA1482",NA,NA,"G00015",NA,NA,"1"
"(Gal)2 (GlcA)1 (Xyl)1 (Ser)1","(Gal)2 (GlcA)1 (Xyl)1 (Ser)1","METPA1591",NA,NA,"G00157",NA,NA,"1"
"(Gal)1 (GlcNAc)1 (Man)1 (Ser/Thr)1","(Gal)1 (GlcNAc)1 (Man)1 (Ser/Thr)1",NA,NA,NA,"G13084",NA,NA,"1"
